# Copyright (c) 2014-2015 CJKVI Database
GCY-0024.00	⿸广萬
GCY-0028.00	⿱艹殂
GCY-0034.00	⿳宀夂心
GCY-0070.00	⿻⿻口乚一
GCY-0213.00	⿰氵靣
GCY-0261.00	⿲木⿻巾𠈌攵
GCY-0418.00	⿱陏𠇍
GCY-0471.00	⿰女卜
GCY-0487.00	⿳艹㴆又
GCY-0517.00	⿰山屚
GCY-0609.00	⿰犭便
GCY-0689.00	⿱罒畱
GCY-0721.00	⿱啟曰
GCY-0731.00	⿱黽又
GCY-0939.00	⿱穴⿰爿告
GCY-0948.00	⿱隹冏
GCY-0953.00	⿱曰龠
GCY-0982.00	⿱山主
GCY-0986.00	⿰革健
GCY-1016.00	⿰昏⿱攴山
GCY-1018.00	⿰龠刂
GCY-1026.00	⿱山匡
GCY-1033.00	⿱艹絫
GCY-1123.00	⿱竹廬
GCY-1126.00	⿰日曅
GCY-1132.00	⿱工下
GCY-1165.00	⿰氵莗
GCY-1211.10	⿰圭卩
GCY-1277.00	⿱𢽊心
GCY-1288.00	⿰石聶
GCY-1313.00	⿺辶栗
GCY-1346.00	⿰虫⿱隹冏
GCY-1359.00	⿰口隽
GCY-1390.00	⿰歺血
GCY-1398.00	⿺辶弆
GCY-1448.00	⿰兑攴
GCY-1453.00	⿰木麕
GCY-1473.00	⿰其鬼
GCY-1482.00	⿰兊攴
GCY-1518.00	⿰盾攴
GCY-1525.00	⿰犭竒
GCY-1562.00	⿱外曰
GCY-1776.00	⿳冂八巢
GCY-1792.00	⿱彑界
GCY-1798.00	⿰扌𡗓
GCY-1811.00	⿰㢏欠
GCY-1830.00	⿱𣥖𣥖
GCY-1848.00	⿰糹離
GCY-1995.00	⿱勾黽
GCY-2003.00	⿰氵隸
GCY-2004.00	⿰氵蓄
GCY-2088.00	⿰火失
GCY-2173.00	⿱𥝢⿰水牛
GCY-2174.00	⿱畾牛
GCY-2204.00	⿰口⿳厶一虫
GCY-2283.00	⿰火臭
GCY-2330.00	⿺鬼首
GCY-2361.00	⿰酉鹵
GCY-2384.00	⿰开兒
GCY-2425.00	⿰𥘈⿱又目
GCY-2455.00	⿱符廾
GCY-2467.00	⿸𢊆石
GCY-2477.00	⿰王母
GCY-2484.00	⿱𠀃
GCY-2490.00	⿱𣗥火
GCY-2502.00	⿳山凶禸
GCY-2543.00	⿵鬥馬
GCY-2547.00	⿱穴𣺎
GCY-2559.00	⿰衤隻
GCY-2563.00	⿱竹抗
GCY-2564.00	⿰口芺
GCY-2580.00	⿳竹罒⿱冖伐
GCY-2585.00	⿱竹湟
GCY-2588.00	⿱竹遠
GCY-2631.00	⿰乡農
GCY-2693.00	⿰目重
GCY-2705.00	⿰糹⿱隹冏
GCY-2791.00	⿰月⿳𠂊囚比
GCY-2811.00	⿰虫⿱萑冏
GCY-2861.00	⿱艹𢓭
GCY-2904.00	⿰口芙
GCY-2931.00	⿱艹媛
GCY-2953.00	⿱艹摳
GCY-2959.00	⿱艹寃
GCY-2961.00	⿱穴卨
GCY-2968.00	⿳曰出𠇍
GCY-3016.00	⿰鳥冘
GCY-3019.00	⿱即虫
GCY-3023.00	⿰虫遂
