FT2125S	⿰口𪘂
FT2189	⿱従心
FT2219S	⿰扌覧
FT2222	⿰扌楽
FT2223	⿰扌㐮
FT2236	⿱日㐮
FT2257	⿰木巣
FT2263	⿰木歴
FT2323	⿰火楽
FT2348	⿸疒歴
FT2378	⿰礻㐮
FT2450S	⿱従耳
FT2569	⿰𧾷従
FT2581	⿰車楽
FT2582	⿰車歴
FT2656	⿰金楽
FT2673	⿱雨歴
FT2723	⿰馬参
FT2740S	⿺麦丐
FT2741S	⿺麦包
FT2757S	⿰歯匕
FT2760S	⿰歯召
FT2761S	⿰歯艮
FT2764S	⿰歯足
FT2765S	⿰歯屋
FT2766S	⿰歯禹
FT2767S	⿰歯咢
IA4060	⿰𣫭糸
IB0291	⿱知鳥
IB0314	⿱心𫕻
IB0660	⿱宀竒
IB0668	⿳𠦜冖巾
IB0670	⿻午二
IB0685	⿱心𫕻
IB0686	⿱一⿰日丁
IB0756	？
IB1063	⿱⿱丷𡗗良
IB1301	⿻一亅
IB1305	⿸𫝁丶
IB1330	⿰亻久
IB1334S	⿰亻𠀋
IB1353S	⿰亻充
IB1435	⿱冖亘
IB1477	⿰冐力
IB1524	⿰口広
IB1552S	⿰口敕
IB1633	⿳⺊⿵⺆米⿱一八
IB1663S	⿱宀㐬
IB1754	⿱山𥡂
IB1812	⿰弓宏
IB1853	⿰忄広
IB1872	⿰司志
IB1880	⿱⿰臣己心
IB1964S	⿰虎攵
IB1972SS	⿱正文
IB1973SS	⿱文且
IB2019S	⿰日坴
IB2058	⿰月⿳一巛帀
IB2068	⿰月喜
IB2139	⿱束束
IB2183	⿱殸果
IB2249	⿰氵栄
IB2264S	⿰氵斎
IB2340	⿱⿲氵臣己灬
IB2378	⿱王水
IB2383	⿳⺍冖玉
IB2464	⿸疒仙
IB2468	⿸疒面
IB2509	⿰矢臣
IB2568	⿰礻定
IB2590	⿰禾羊
IB2604	⿰禾貞
IB2622	⿱立寸
IB2626	⿰咅召
IB2649S	⿱竹保
IB2654	⿱竹耕
IB2671	⿰米辛
IB2683	⿰糸右
IB2684	⿰糸左
IB2757	⿸广⿱隹月
IB2787	⿱𫇦干
IB2805	⿳艹⿺𠃊㐅
IB2851	⿱艹𤊅
IB2883	⿰虫刺
IB2930	⿰言英
IB2967	⿱賏隹
IB2982	⿰身寿
IB3057	⿰金与
IB3075	⿰金庄
IB3117	⿰金栄
IB3121	⿰金勇
IB3127	⿰金候
IB3139	⿰金戠
IB3212	⿱面且
IB3233	⿰飠⿱爫旧
IB3246	⿰馬尭
IB3262	⿺鬼叐
JTAD04	⿱一几
JTAD0B	⿺才丶
JTAD0E	⿱七
JTAD16	⿱七加
JTAD18	⿰不去
JTAD1C	⿰中易
JTAD1F	⿱亠⿻艹木
JTAD33	⿳亠⿱𠀎𧘇
JTAD34	⿳亠⿲刀弓
JTAD35	⿳亠朋㐱
JTAD36	⿰京甫
JTAD39S	⿳亠⿲夕了⿲丿示丨
JTAD3A	⿳亠䀠㐱
JTAD3E	⿱亠𠮓
JTAD48	⿻⿻二丨人
JTAD4A	⿰亻斗
JTAD4B	⿰亻㔫
JTAD50	⿰亻⿱冖小
JTAD55	⿰亻宂
JTAD56	⿰亻広
JTAD57	⿰亻⿱一巿
JTAD61	⿰亻䏍
JTAD62S	⿰亻⿱厶文
JTAD66	⿰亻⿱且八
JTAD6B	⿰亻⿱山月
JTAD6D	⿰亻⿳口一
JTAD75	⿱代出
JTAD80	⿰亻亮
JTAD84	⿰亻？
JTAD8D	⿱𠆢
JTAD99S	⿰亻康
JTAD9A	⿰亻亀
JTAD9E	⿰亻㑹
JTADA9	⿰亻⿳隹一勿
JTADAAS	⿲亻韋亍
JTADB4	⿰亻⿱攵黑
JTADBES	⿳丿罒儿
JTADC2S	⿰光広
JTADC3S	⿰光広
JTADCBS	⿳八二丿
JTADCE	⿳⿰〢よ一八
JTADD0	⿳⿰〢一八
JTADD1	⿳⿰〢一八
JTADD2	⿳⿰〢与一八
JTADD4	⿱八西
JTADD6	⿳⿰刂木一八
JTADDC	⿳⿲亻？？一八
JTADDD	⿳⿲⿰丨丨？？一八
JTADDE	⿳⿲？与？一八
