U+2E80	⺀	⿱丶丶
U+2E82	⺂	⺂
U+2E84	⺄	⺄
U+2E86	⺆	⺆
U+2E8A	⺊	⺊
U+2E8C	⺌	⺌
U+2E8D	⺍	⺍
U+2EAB	⺫	⺫
U+2EB3	⺳	⿱冖八
U+2EB6	⺶	⺶
U+2EB8	⺸	⿱卝干
U+2EBB	⺻	⿱肀一
U+2EBC	⺼	⿵⺆冫
U+2EF3	⻳	⿱𠂊
U+3022	〢	⿰丨丨
U+31C0	㇀	㇀
U+31C9	㇉	㇉
U+31E2	㇢	㇢
U+4E00	一	一
U+4E01	丁	⿱一亅
U+4E02	丂	⿱一㇉
U+4E03	七	⿻乚
U+4E04	丄	⿱丨一
U+4E05	丅	⿱一丨
U+4E06	丆	⿱一丿
U+4E07	万	⿱一
U+4E08	丈	丈
U+4E09	三	⿳一一一
U+4E0A	上	⿱⺊一
U+4E0B	下	⿱一卜
U+4E0C	丌	⿱一
U+4E0D	不	⿱一
U+4E0E	与	⿹一[GTKV]	⿻一[J]
U+4E0F	丏	丏
U+4E10	丐	丐
U+4E11	丑	⿹𠃌土	⿻𠃌土
U+4E12	丒	⿱刃一
U+4E13	专	专
U+4E14	且	且
U+4E15	丕	⿱不一
U+4E16	世	世
U+4E17	丗	⿻廿丨
U+4E18	丘	丘
U+4E19	丙	⿱一内
U+4E1A	业	⿱一
U+4E1B	丛	⿱从一
U+4E1C	东	东
U+4E1D	丝	⿱⿰一
U+4E1E	丞	⿱氶一
U+4E1F	丟	⿱王厶	⿱一去
U+4E20	丠	⿱北一
U+4E21	両	⿱一
U+4E22	丢	⿱𡈼厶
U+4E23	丣	丣
U+4E24	两	⿱一
U+4E25	严	严
U+4E26	並	⿱䒑业
U+4E27	丧	⿱
U+4E28	丨	丨
U+4E29	丩	丩
U+4E2A	个	⿱𠆢丨
U+4E2B	丫	⿱丷丨
U+4E2C	丬	丬
U+4E2D	中	⿻口丨
U+4E2E	丮	⿹⺄
U+4E2F	丯	⿻彡丨
U+4E30	丰	⿻三丨[GJK]	⿻丿[TV]
U+4E31	丱	丱
U+4E32	串	⿻吕丨	⿻中口
U+4E33	丳	⿻吕
U+4E34	临	⿰〢⿱
U+4E35	丵	⿱业𢆉
U+4E36	丶	丶
U+4E37	丷	丷
U+4E38	丸	⿵九丶[TKV]	⿻九丶[GJ]
U+4E39	丹	丹
U+4E3A	为	为
U+4E3B	主	⿱亠土	⿱丶王
U+4E3C	丼	⿴井丶
U+4E3D	丽	⿱一⿰⿵冂丶⿵冂丶[G]	⿰⿱一⿵冂丶⿱一⿵冂丶[T]
U+4E3E	举	⿱兴
U+4E3F	丿	丿
U+4E40	乀	乀
U+4E41	乁	乁
U+4E42	乂	⿻丿乀
U+4E43	乃	⿹𠄎丿
U+4E44	乄	乄
U+4E45	久	久
U+4E46	乆	⿰乀
U+4E47	乇	⿱丿七
U+4E48	么	⿱丿厶
U+4E49	义	⿶乂丶
U+4E4A	乊	⿱丿丷
U+4E4B	之	之
U+4E4C	乌	⿹一
U+4E4D	乍	乍
U+4E4E	乎	乎
U+4E4F	乏	⿱丿之
U+4E50	乐	乐
U+4E51	乑	乑
U+4E52	乒	⿱丘丿
U+4E53	乓	⿱丘丶
U+4E54	乔	⿱夭
