# Copyright (c) 2016 CJKVI Database
GHZR10014.07	⿱七二
GHZR10014.09	⿰丂丂
GHZR10015.03	⿱二⿰亻丨
GHZR10019.13	⿱二尺
GHZR10021.05	⿳一八⿱一八
GHZR10021.11	⿺七⿰川丨
GHZR10021.15	⿰正丁
GHZR10025.02	⿱天天
GHZR10027.03	⿱四三
GHZR10027.12	⿱𡗗屯
GHZR10027.13	⿳一⿰土勽一
GHZR10028.08	⿱一⿺先厶
GHZR10028.14	⿱壵一
GHZR10029.02	⿱一⿰里几
GHZR10029.04	⿱𣄼⿵几土
GHZR10029.06	⿰丙丙
GHZR10029.07	⿰平平
GHZR10029.19	⿱⿰天天天
GHZR10029.23	⿱一國
GHZR10030.05	⿻帀𠈌
GHZR10030.11	⿰甚⿻廾⺀
GHZR10030.12	⿳一昍⿵几土
GHZR10031.11	⿱𣗥必
GHZR10031.13	⿱𣘐𣘐
GHZR10035.04	⿱凹与
GHZR10035.05	⿱上⿰上上
GHZR10035.08	⿱由勿
GHZR10035.09	⿰㠯予
GHZR10035.13	⿰甲冉
GHZR10035.15	⿰㠯㠯
GHZR10035.19	⿳上⿰上上上
GHZR10035.23	⿰㠯来
GHZR10036.02	⿱曲直
GHZR10036.03	⿱且⿰且且
GHZR10045.10	⿱勿囙
GHZR10045.14	⿰失失
GHZR10053.04	⿰必于
GHZR10053.11	⿰必史
GHZR10053.12	⿱必用
GHZR10053.13	⿱龹丑
GHZR10058.08	⿳⺄⺄⺄
GHZR10059.09	⿰了了
GHZR10060.06	⿱巜巜
GHZR10060.11	⿹⺄尤
GHZR10061.01	⿱乃乆
GHZR10061.08	⿰丩夫
GHZR10061.12	⿱龸乙
GHZR10061.14	⿰𫵳乚
GHZR10061.16	⿱也也
GHZR10061.21	⿹⺄台
GHZR10064.01	⿱兵乙
GHZR10064.09	⿰⿱日匂乚
GHZR10065.04	⿰出出
GHZR10066.02	⿹⺄竝
GHZR10066.04	⿰甬𭂫
GHZR10066.05	⿰弗甫
GHZR10066.07	⿰⿳𠂊田火乚
GHZR10066.08	⿱天乹
GHZR10067.06	⿹⺄辡
GHZR10067.08	⿰𤔬乚
GHZR10067.09	⿰𡦢乚
GHZR10068.08	⿱乃十
GHZR10069.03	⿱乆十
GHZR10069.06	⿱⿳⺄⺄⺄十
GHZR10069.13	⿱十𠀍
GHZR10070.03	⿱𠙽十
GHZR10074.03	⿱古巴
GHZR10075.01	⿰十⿱巛止
GHZR10075.13	⿱古光
GHZR10076.11	⿰⿳一巛⿱口土古
GHZR10077.04	⿱南南
GHZR10077.07	⿲束克束
GHZR10077.11	⿳爫⿲吕糹吕十
GHZR10077.12	⿳爫⿲糹糹糹十
GHZR10077.14	⿱南⿰南南
GHZR10077.15	⿱真㒹
GHZR10079.25	⿸厂文
GHZR10080.14	⿸厂⿰亻亇
GHZR10082.14	⿸厌土
GHZR10082.17	⿸厂来
GHZR10084.13	⿸𠂆⿸虍人
GHZR10084.15	⿸厂昘
GHZR10085.03	⿸厂⿱臼九
GHZR10086.05	⿸厂𦙊
GHZR10086.16	⿸𠂆𧆞
GHZR10087.13	⿸厂㰪
GHZR10087.14	⿸厂⿰圭殳
GHZR10087.15	⿸厂⿰圭𠬝
GHZR10087.24	⿸厂殷
GHZR10087.29	⿸厂竜
GHZR10088.02	⿸厂⿰𫧠刀
GHZR10088.12	⿰𠩓句
GHZR10089.06	⿰𠂬甫
GHZR10089.13	⿸厂⿱共⿻王丷
GHZR10090.03	⿰果𠨿
GHZR10090.04	⿰果𠂬
GHZR10092.01	⿸厂⿰龵長
GHZR10093.03	⿸厥肉
GHZR10093.05	⿰原原
GHZR10097.10	⿷匚旦
GHZR10098.04	⿷匚禾
GHZR10098.10	⿷匚夘
GHZR10100.05	⿷匚𠱀
GHZR10101.05	⿱⿷匚小舛
GHZR10108.04	⿱⺊因
GHZR10108.15	⿱⿰⿱⺊日丨厂
GHZR10109.02	⿴占𠮛
GHZR10109.08	⿱⺊⿵几⿱一巿
GHZR10110.03	⿳⺊𠕀⿱⺊𠕀
GHZR10110.05	⿱⺊⿵几⿱公天
GHZR10110.12	⿺𠃊⿳⺊日⿴囗𠂭
GHZR10110.18	⿱一冂
GHZR10114.08	⿵冂壬
GHZR10114.09	⿵冂⿰冫又
GHZR10114.13	⿵𠔼从
GHZR10115.06	⿵冂⿱䒑匕
GHZR10115.08	⿵⺆⿱龶丁
GHZR10116.03	⿱丶⿵冂⿱⺌口
GHZR10116.07	⿵冂昔
GHZR10116.11	⿰丩周
GHZR10116.12	⿵冂⿱巛正
GHZR10116.14	⿱司同
GHZR10116.17	⿰害冂
GHZR10117.09	⿱⿵冂乆⿰⿵冂乆⿵冂乆
GHZR10117.10	⿱⿰⿱𠂉方古冋
GHZR10136.07	⿰人了
GHZR10148.03	⿱入井
GHZR10148.07	⿺元人
GHZR10149.09	⿱入反
GHZR10149.15	⿺人斗
GHZR10154.10	⿰亻𠕀
GHZR10161.18	⿱弗人
GHZR10175.05	⿱𠓝月
GHZR10176.07	⿳人⺊冈
GHZR10176.08	⿱入尖
GHZR10177.02	⿱人吊
GHZR10178.03	⿰亻⿱士子
GHZR10179.06	⿰亻⿹弋山
GHZR10184.01	⿰亻后
GHZR10188.08	⿰亻江
GHZR10189.05	⿰亻⿱⿹弓人一
GHZR10189.13	⿱入志
GHZR10190.03	⿱合山
GHZR10191.14	⿰亻𡉵
GHZR10195.01	⿰⿰亻丨汝
GHZR10198.04	⿰亻⿱𠂉⿵丹丶
GHZR10198.10	⿰亻𠯌
GHZR10202.09	⿰亻⿳彐一䒑
GHZR10204.03	⿰亻⿱厼又
GHZR10205.17	⿳人灬月
GHZR10222.07	⿱佛下
GHZR10223.08	⿱企平
GHZR10236.12	⿱不⿰安人
GHZR10236.14	⿳人只⿱人土
GHZR10240.02	⿰亻⿱覀方
GHZR10242.05	⿰亻⿸𠂆⿸虍人
GHZR10245.15	⿱全貝
GHZR10246.12	⿰亻⿱戒心
GHZR10250.01	⿰亻⿱小物
GHZR10252.06	⿰亻𭦌
GHZR10258.02	⿰亻⿳止⿰𠄠𠄠⿱一𣥂
GHZR10263.02	⿱亼焸
GHZR10269.03	⿰亻⿱丷𬑔
GHZR10269.07	⿰亻弿
GHZR10269.09	⿳人鹵巾
GHZR10272.06	⿰亻⿳兑𠂊兄
GHZR10273.01	⿱佛界
GHZR10273.08	⿱僉灬
GHZR10278.16	⿱佛衆
GHZR10290.05	⿺儿上
GHZR10301.03	⿸𠂋匕
GHZR10301.09	⿱北乆
GHZR10367.05	⿰自刂
GHZR10372.03	⿰来刂
GHZR10403.01	⿰夹力
GHZR10429.09	⿱又𡯇
GHZR10433.02	⿱从㞋
GHZR10434.07	⿱此反
GHZR10435.08	⿱叒叱
GHZR10435.13	⿳山⿻人双个
GHZR10435.15	⿱叒兆
GHZR10436.07	⿱双⿰布布
GHZR10436.18	⿰⿱⺊𠕁⿱又耳
GHZR10437.12	⿺是取
GHZR10441.07	⿰⿱亠由建
GHZR10441.08	⿰來廻
GHZR10441.09	⿰臿建
GHZR10441.10	⿰㽞建
GHZR10493.11	⿰土⿱王皿
GHZR10493.17	⿱⿰土𡰱土
GHZR10494.08	⿰土⿱艹𡰱
GHZR10506.05	⿰土⿱⿰万口木
GHZR10507.06	⿰土⿱罒电
GHZR10512.04	⿳士冖⿱癶土
GHZR10523.01	⿱⿲口臣口土
GHZR10523.05	⿳吅臣土
GHZR10534.11	⿰土⿳艹𠫓⿱王収
GHZR10534.15	⿱⿰号虒土
GHZR10535.06	⿰土𡼡
GHZR10540.10	⿱𡔷⿲丬关刂
GHZR10605.04	⿰甲弋
GHZR10605.15	⿹弋旱
GHZR10605.17	⿹弋角
GHZR10605.18	⿹弋言
GHZR10606.02	⿹弋習
GHZR10606.03	⿹弋㫺
GHZR20612.16	⿳小⿶凵又肉
GHZR20787.15	⿱切山
GHZR20801.17	⿱山𢗑
GHZR20811.13	⿰山⿱支目
GHZR20816.17	⿱山垻
GHZR20817.07	⿱山𢙣
GHZR20818.03	⿱𡹐乃
GHZR20819.18	⿰山屑
GHZR20830.02	⿳山一⿵戊⿱土正
GHZR20832.22	⿱屾嗟
GHZR20833.01	⿱屾愕
GHZR20848.13	⿱巾⿰巾巾
GHZR20893.09	⿰彳⿱刀羊
GHZR20963.01	⿸庶土
GHZR20967.02	⿸广⿱⿻土从皿
GHZR20977.05	⿱宀巜
GHZR20977.07	⿱宀三
GHZR21001.08	⿱宀住
GHZR21004.13	⿱宀杸
GHZR21008.02	⿱宀阜
GHZR21012.14	⿱宀⿰衤攴
GHZR21013.08	⿰⿱宀幺⿱宀幺
GHZR21014.08	⿳宀百木
GHZR21015.11	⿱宀𢚘
GHZR21015.12	⿱宀⿰衤𪠲
GHZR21025.11	⿰𡧱孝
GHZR21025.18	⿱宀艁
GHZR21047.07	⿸尸抦
GHZR21048.05	⿸尸㟀
GHZR21050.04	⿰尿尾
GHZR21052.11	⿱㞌𡥷
GHZR21181.02	⿰王内
GHZR21201.05	⿰王⿵冂米
GHZR21217.02	⿰王𦓔
GHZR21220.10	⿰王⿱日鬼
GHZR21225.14	⿰王𭫪
GHZR21225.16	⿲王号⿱⿱丿巿⿱丿巿
GHZR21228.12	⿰⿰丨丿无
GHZR31301.09	⿰木⿱口丑
GHZR31333.10	⿰木⿱亚女
GHZR31333.11	⿱𫇦林
GHZR31342.06	⿱衍木
GHZR31345.06	⿰木类
GHZR31350.01	⿰木敖
GHZR31356.02	⿰木倩
GHZR31361.03	⿱欮木
GHZR31362.13	⿳木彐⿹勹⿰屮又
GHZR31367.07	⿱林来
GHZR31377.02	⿱旋木
GHZR31377.13	⿰木㝡
GHZR31384.02	⿱歮木
